Organization,Country
Stop Hunger Now,Bolivia
Taiwan Buddhist Tzu Chi Foundation,Bolivia
Unitarian Universalist Service Committee,Bolivia
Winrock International,Bolivia
World Concern,Bolivia
World Neighbors,Bolivia
World Vision,Bolivia
World Wildlife Fund (WWF),Bolivia
American Jewish Joint Distribution Committee,Bosnia-Herzegovina
America's Development Foundation,Bosnia-Herzegovina
Baptist World Alliance,Bosnia-Herzegovina
CARE,Bosnia-Herzegovina
Catholic Relief Services,Bosnia-Herzegovina
CHF International,Bosnia-Herzegovina
Church World Service,Bosnia-Herzegovina
Disability Rights Education and Defense Fund (DREDF),Bosnia-Herzegovina
Education Development Center (EDC),Bosnia-Herzegovina
Giving Children Hope,Bosnia-Herzegovina
Global Health Council,Bosnia-Herzegovina
Habitat for Humanity International,Bosnia-Herzegovina
Handicap International USA,Bosnia-Herzegovina
International Center for Not-for-Profit Law,Bosnia-Herzegovina
International Orthodox Christian Charities (IOCC),Bosnia-Herzegovina
International Rescue Committee (IRC),Bosnia-Herzegovina
International Youth Foundation,Bosnia-Herzegovina
Islamic Relief USA,Bosnia-Herzegovina
Jesuit Refugee Service,Bosnia-Herzegovina
Lions Club International Foundation,Bosnia-Herzegovina
Mercy Corps,Bosnia-Herzegovina
Taiwan Buddhist Tzu Chi Foundation,Austria
African Medical & Research Foundation,Angola
Mercy USA for Aid and Development,Bosnia-Herzegovina
Project C.U.R.E,Bosnia-Herzegovina
Women for Women International,Bosnia-Herzegovina
World Hope International,Bosnia-Herzegovina
World Vision,Bosnia-Herzegovina
Baptist World Alliance,Botswana
Catholic Relief Services,Botswana
Education Development Center (EDC),Botswana
Episcopal Relief & Development,Botswana
Global Health Council,Botswana
Habitat for Humanity International,Botswana
IntraHealth International Inc.,Botswana
Jhpiego,Botswana
Lions Club International Foundation,Botswana
Management Sciences for Health (MSH),Botswana
PATH,Botswana
Pathfinder International,Botswana
PCI (Project Concern International),Botswana
Planet Aid,Botswana
Stop Hunger Now,Botswana
Winrock International,Botswana
ACDI/VOCA,Brazil
ActionAid International USA,Brazil
Adventist Development and Relief Agency International,Brazil
American Friends Service Committee,Brazil
American Jewish Joint Distribution Committee,Brazil
AmeriCares,Brazil
World Vision,Austria
Baptist World Alliance,Brazil
CARE,Brazil
Catholic Relief Services,Brazil
Africare,Angola
CBM,Brazil
ChildFund International,Brazil
Episcopal Relief & Development,Brazil
Global Fund for Children,Brazil
Global Health Council,Brazil
GlobalGiving,Brazil
Habitat for Humanity International,Brazil
Handicap International USA,Brazil
Heifer International,Brazil
Humane Society International (HSI),Brazil
INMED Partnerships for Children,Brazil
International Center for Not-for-Profit Law,Brazil
International Center for Research on Women (ICRW),Brazil
International Youth Foundation,Brazil
Lions Club International Foundation,Brazil
Management Sciences for Health (MSH),Brazil
Operation Blessing International Relief and Development Corporation,Brazil
Outreach International,Brazil
Pan American Development Foundation,Brazil
Action Against Hunger | ACF International,Azerbaijan
Aga Khan Foundation USA,Afghanistan
Pan American Health and Education Foundation (PAHEF),Brazil
PATH,Brazil
Pathfinder International,Brazil
Perkins International,Brazil
Plan,Brazil
Planet Aid,Brazil
Project C.U.R.E,Brazil
ProLiteracy Worldwide,Brazil
Solidarity Center,Brazil
Taiwan Buddhist Tzu Chi Foundation,Brazil
U.S. Committee for Refugees & Immigrants,Brazil
United Nations Foundation,Brazil
United Way Worldwide,Brazil
Winrock International,Brazil
World Society for the Protection of Animals,Brazil
World Vision,Brazil
World Wildlife Fund (WWF),Brazil
Lions Club International Foundation,Brunei Darussalam
Taiwan Buddhist Tzu Chi Foundation,Brunei Darussalam
Air Serv International,Afghanistan
Adventist Development and Relief Agency International,Bulgaria
American Jewish Joint Distribution Committee,Bulgaria
Baptist World Alliance,Bulgaria
Bethany Christian Service International,Bulgaria
Catholic Relief Services,Bulgaria
Global Fund for Children,Bulgaria
GlobalGiving,Bulgaria
Habitat for Humanity International,Bulgaria
Heifer International,Bulgaria
International Center for Not-for-Profit Law,Bulgaria
International Youth Foundation,Bulgaria
Lions Club International Foundation,Bulgaria
Perkins International,Bulgaria
Project C.U.R.E,Bulgaria
The Global FoodBanking Network (GFN),Bulgaria
ACDI/VOCA,Burkina Faso
Action Against Hunger | ACF International,Burkina Faso
ActionAid International USA,Burkina Faso
Adventist Development and Relief Agency International,Burkina Faso
Africare,Burkina Faso
America's Development Foundation,Burkina Faso
Ananda Marga Universal Relief Team,Burkina Faso
Baptist World Alliance,Burkina Faso
Catholic Relief Services,Burkina Faso
Adventist Development and Relief Agency International,Azerbaijan
American Jewish Joint Distribution Committee,Albania
American Jewish Joint Distribution Committee,Argentina
American Jewish Joint Distribution Committee,Armenia
American Jewish Joint Distribution Committee,Azerbaijan
CBM,Burkina Faso
Development Gateway,Burkina Faso
Family Care International,Burkina Faso
Freedom from Hunger,Burkina Faso
Global Health Council,Burkina Faso
GlobalGiving,Burkina Faso
Handicap International USA,Burkina Faso
Helen Keller International,Burkina Faso
HelpAge USA,Burkina Faso
Jesuit Refugee Service,Burkina Faso
Jhpiego,Burkina Faso
Lions Club International Foundation,Burkina Faso
Lutheran World Relief (LWR),Burkina Faso
Management Sciences for Health (MSH),Burkina Faso
Oxfam America,Burkina Faso
PATH,Burkina Faso
Plan,Burkina Faso
Project C.U.R.E,Burkina Faso
Save the Children,Burkina Faso
The Hunger Project,Burkina Faso
Trickle Up Program,Burkina Faso
United Nations Foundation,Burkina Faso
Water Aid America,Burkina Faso
World Concern,Burkina Faso
World Neighbors,Burkina Faso
ActionAid International USA,Burundi
Adventist Development and Relief Agency International,Burundi
African Medical & Research Foundation,Burundi
American Friends Service Committee,Burundi
AmeriCares,Burundi
Baptist World Alliance,Burundi
Brother's Brother Foundation,Burundi
CARE,Burundi
Catholic Relief Services,Burundi
Church World Service,Burundi
CONCERN Worldwide,Burundi
Development Gateway,Burundi
Episcopal Relief & Development,Burundi
Giving Children Hope,Burundi
Global Fund for Children,Burundi
American Jewish World Service,Afghanistan
Global Health Council,Burundi
GlobalGiving,Burundi
Handicap International USA,Burundi
Heartland Alliance,Burundi
International Foundation for Electoral Systems (IFES),Burundi
International Medical Corps,Burundi
International Relief Teams,Burundi
International Rescue Committee (IRC),Burundi
Jesuit Refugee Service,Burundi
Lions Club International Foundation,Burundi
Management Sciences for Health (MSH),Burundi
Medical Care Development,Burundi
Medical Teams International,Burundi
PATH,Burundi
Pathfinder International,Burundi
Plant with Purpose,Burundi
Project C.U.R.E,Burundi
Stop Hunger Now,Burundi
Winrock International,Burundi
World Relief,Burundi
World Vision,Burundi
ActionAid International USA,Cambodia
Adventist Development and Relief Agency International,Cambodia
American Friends Service Committee,Cambodia
American Jewish World Service,Cambodia
American Red Cross International Services,Cambodia
AmeriCares,Cambodia
Baptist World Alliance,Cambodia
Brother's Brother Foundation,Cambodia
CARE,Cambodia
Catholic Relief Services,Cambodia
CBM,Cambodia
Baptist World Alliance,Azerbaijan
ChildFund International,Cambodia
Christian Reformed World Relief Committee,Cambodia
Church World Service,Cambodia
CONCERN Worldwide,Cambodia
American Red Cross International Services,Antigua and Barbuda
American Red Cross International Services,Armenia
Congressional Hunger Center,Cambodia
Direct Relief International,Cambodia
Friends of ACTED,Cambodia
Giving Children Hope,Cambodia
Global Fund for Children,Cambodia
Global Health Council,Cambodia
GlobalGiving,Cambodia
Habitat for Humanity International,Cambodia
Handicap International USA,Cambodia
Heart to Heart International,Cambodia
Heifer International,Cambodia
Helen Keller International,Cambodia
HelpAge USA,Cambodia
Holt International Children's Services,Cambodia
International Center for Not-for-Profit Law,Cambodia
International Center for Research on Women (ICRW),Cambodia
International Foundation for Electoral Systems (IFES),Cambodia
International Relief & Development,Cambodia
Jesuit Refugee Service,Cambodia
Jhpiego,Cambodia
Lions Club International Foundation,Cambodia
Management Sciences for Health (MSH),Cambodia
Medical Teams International,Cambodia
Operation Blessing International Relief and Development Corporation,Cambodia
Operation USA,Cambodia
Oxfam America,Cambodia
Pact,Cambodia
PATH,Cambodia
Plan,Cambodia
Project C.U.R.E,Cambodia
ProLiteracy Worldwide,Cambodia
Seva Foundation,Cambodia
Solidarity Center,Cambodia
Stop Hunger Now,Cambodia
Taiwan Buddhist Tzu Chi Foundation,Cambodia
Winrock International,Cambodia
World Concern,Cambodia
World Hope International,Cambodia
World Rehabilitation Fund,Cambodia
World Relief,Cambodia
World Vision,Cambodia
World Wildlife Fund (WWF),Cambodia
ActionAid International USA,Cameroon
Adventist Development and Relief Agency International,Cameroon
African Medical & Research Foundation,Cameroon
AmeriCares,Cameroon
Baptist World Alliance,Cameroon
Brother's Brother Foundation,Cameroon
CARE,Cameroon
Catholic Relief Services,Cameroon
CBM,Cameroon
Counterpart International,Cameroon
Direct Relief International,Cameroon
Giving Children Hope,Cameroon
Global Health Council,Cameroon
GlobalGiving,Cameroon
Habitat for Humanity International,Cameroon
Heart to Heart International,Cameroon
Heifer International,Cameroon
Helen Keller International,Cameroon
International Medical Corps,Cameroon
International Relief & Development,Cameroon
Jesuit Refugee Service,Cameroon
Lions Club International Foundation,Cameroon
Management Sciences for Health (MSH),Cameroon
Medical Teams International,Cameroon
One Economy Corporation,Cameroon
PCI-Media Impact,Cameroon
Plan,Cameroon
Project C.U.R.E,Cameroon
ProLiteracy Worldwide,Cameroon
Stop Hunger Now,Cameroon
United Nations Foundation,Cameroon
World Wildlife Fund (WWF),Cameroon
Adventist Development and Relief Agency International,Canada
Aga Khan Foundation USA,Canada
Baptist World Alliance,Canada
B'nai B'rith International,Canada
Brother's Brother Foundation,Canada
Christian Reformed World Relief Committee,Canada
Easter Seals,Canada
Global Health Council,Canada
GlobalGiving,Canada
AmeriCares,Afghanistan
AmeriCares,Albania
AmeriCares,Angola
AmeriCares,Argentina
AmeriCares,Armenia
Habitat for Humanity International,Canada
Heifer International,Canada
Humane Society International (HSI),Canada
Information Management and Mine Action Programs (IMMAP),Canada
International Social Service - United States of America Branch Inc.,Canada
International Youth Foundation,Canada
Jesuit Refugee Service,Canada
Lions Club International Foundation,Canada
Population Action International,Canada
Seva Foundation,Canada
Society for International Development (SID),Canada
Taiwan Buddhist Tzu Chi Foundation,Canada
The Global FoodBanking Network (GFN),Canada
The Hunger Project,Canada
United Way Worldwide,Canada
World Society for the Protection of Animals,Canada
Africare,Cape Verde
Handicap International USA,Cape Verde
Lions Club International Foundation,Cape Verde
Americas ReliefTeam,Cayman Islands
Action Against Hunger | ACF International,Central African Republic
American Red Cross International Services,Central African Republic
Baptist World Alliance,Central African Republic
Catholic Relief Services,Central African Republic
Friends of ACTED,Central African Republic
Giving Children Hope,Central African Republic
Global Health Council,Central African Republic
International Medical Corps,Central African Republic
International Rescue Committee (IRC),Central African Republic
Jesuit Refugee Service,Central African Republic
Lions Club International Foundation,Central African Republic
Medical Emergency Relief International (Merlin),Central African Republic
Mercy Corps,Central African Republic
Resolve Uganda,Central African Republic
United Nations Foundation,Central African Republic
Action Against Hunger | ACF International,Chad
Adventist Development and Relief Agency International,Chad
Africare,Chad
Air Serv International,Chad
American Jewish World Service,Chad
CARE,Chad
Catholic Relief Services,Chad
CBM,Chad
CONCERN Worldwide,Chad
Counterpart International,Chad
Friends of ACTED,Chad
Giving Children Hope,Chad
GlobalGiving,Chad
Handicap International USA,Chad
Hebrew Immigrant Aid Society,Chad
Information Management and Mine Action Programs (IMMAP),Chad
International Foundation for Electoral Systems (IFES),Chad
International Medical Corps,Chad
International Relief & Development,Chad
International Rescue Committee (IRC),Chad
Jesuit Refugee Service,Chad
Lions Club International Foundation,Chad
Management Sciences for Health (MSH),Chad
Refugees International,Chad
Solar Cookers International,Chad
Stop Hunger Now,Chad
United Nations Foundation,Chad
USA for UNHCR,Chad
World Concern,Chad
World Vision,Chad
Helping Hand for Relief and Development,Chechnya
Islamic Relief USA,Chechnya
Adventist Development and Relief Agency International,Chile
American Jewish Joint Distribution Committee,Chile
American Red Cross International Services,Chile
AmeriCares,Chile
Americas ReliefTeam,Chile
Baptist World Alliance,Chile
Brother's Brother Foundation,Chile
CARE,Chile
Catholic Relief Services,Chile
CBM,Chile
Christian Reformed World Relief Committee,Chile
Church World Service,Chile
Family Care International,Chile
Giving Children Hope,Chile
GlobalGiving,Chile
Habitat for Humanity International,Chile
CARE,Azerbaijan
America's Development Foundation,Afghanistan
America's Development Foundation,Angola
Heart to Heart International,Chile
International Center for Research on Women (ICRW),Chile
International Medical Corps,Chile
International Rescue Committee (IRC),Chile
International Youth Foundation,Chile
Latter-day Saint Charities,Chile
Lions Club International Foundation,Chile
Pan American Development Foundation,Chile
Pan American Health and Education Foundation (PAHEF),Chile
Perkins International,Chile
Presbyterian Disaster Assistance,Chile
Project C.U.R.E,Chile
ProLiteracy Worldwide,Chile
Stop Hunger Now,Chile
Taiwan Buddhist Tzu Chi Foundation,Chile
United Way Worldwide,Chile
World Vision,Chile
World Wildlife Fund (WWF),Chile
ActionAid International USA,China
Adventist Development and Relief Agency International,China
American Friends Service Committee,China
American Red Cross International Services,China
Catholic Relief Services,Azerbaijan
Americas ReliefTeam,Antigua and Barbuda
AmeriCares,China
America's Development Foundation,China
Bethany Christian Service International,China
Brother's Brother Foundation,China
Catholic Relief Services,China
CBM,China
Christian Reformed World Relief Committee,China
Church World Service,China
Development Gateway,China
Direct Relief International,China
Episcopal Relief & Development,China
Giving Children Hope,China
Global Fund for Children,China
Global Health Council,China
Global Resource Services,China
GlobalGiving,China
Habitat for Humanity International,China
Handicap International USA,China
Heart to Heart International,China
Heifer International,China
Helen Keller International,China
HelpAge USA,China
Holt International Children's Services,China
Humane Society International (HSI),China
Institute for Sustainable Communities,China
International Center for Not-for-Profit Law,China
International Youth Foundation,China
Lions Club International Foundation,China
Management Sciences for Health (MSH),China
Mercy Corps,China
Mobility International USA,China
Operation Blessing International Relief and Development Corporation,China
Operation USA,China
Oxfam America,China
PATH,China
Perkins International,China
Plan,China
Planet Aid,China
Presbyterian Disaster Assistance,China
Project C.U.R.E,China
ProLiteracy Worldwide,China
Save the Children,China
Seva Foundation,China
Stop Hunger Now,China
Taiwan Buddhist Tzu Chi Foundation,China
United Nations Foundation,China
United Way Worldwide,China
Winrock International,China
World Hope International,China
World Relief,China
World Resources Institute (WRI),China
World Society for the Protection of Animals,China
World Vision,China
World Wildlife Fund (WWF),China
Action Against Hunger | ACF International,Colombia
Adventist Development and Relief Agency International,Colombia
Baptist World Alliance,Angola
Baptist World Alliance,Antigua and Barbuda
Baptist World Alliance,Argentina
Baptist World Alliance,Armenia
Baptist World Alliance,Australia
Counterpart International,Azerbaijan
Global Health Council,Azerbaijan
American Jewish World Service,Colombia
American Red Cross International Services,Colombia
AmeriCares,Colombia
Americas ReliefTeam,Colombia
Bethany Christian Service International,Colombia
Brother's Brother Foundation,Colombia
Catholic Relief Services,Colombia
CHF International,Colombia
Church World Service,Colombia
Concern America,Colombia
Development Gateway,Colombia
Episcopal Relief & Development,Colombia
Family Care International,Colombia
Global Fund for Children,Colombia
Global Health Council,Colombia
GlobalGiving,Colombia
Habitat for Humanity International,Colombia
Handicap International USA,Colombia
HelpAge USA,Colombia
Information Management and Mine Action Programs (IMMAP),Colombia
International Center for Not-for-Profit Law,Colombia
International Center for Research on Women (ICRW),Colombia
International Relief & Development,Colombia
International Rescue Committee (IRC),Colombia
International Youth Foundation,Colombia
Jesuit Refugee Service,Colombia
Lions Club International Foundation,Colombia
Lutheran World Relief (LWR),Colombia
Management Sciences for Health (MSH),Colombia
Mercy Corps,Colombia
Operation Blessing International Relief and Development Corporation,Colombia
Pan American Development Foundation,Colombia
Pan American Health and Education Foundation (PAHEF),Colombia
PATH,Colombia
PCI-Media Impact,Colombia
Perkins International,Colombia
Plan,Colombia
Project C.U.R.E,Colombia
ProLiteracy Worldwide,Colombia
Refugees International,Colombia
Save the Children,Colombia
Solidarity Center,Colombia
Stop Hunger Now,Colombia
Taiwan Buddhist Tzu Chi Foundation,Colombia
The Global FoodBanking Network (GFN),Colombia
United Way Worldwide,Colombia
USA for UNHCR,Colombia
World Society for the Protection of Animals,Colombia
World Vision,Colombia
World Wildlife Fund (WWF),Colombia
American Red Cross International Services,Comoros
Lions Club International Foundation,Comoros
Adventist Development and Relief Agency International,Costa Rica
American Red Cross International Services,Costa Rica
AmeriCares,Costa Rica
Americas ReliefTeam,Costa Rica
Amigos de las Americas,Costa Rica
Baptist World Alliance,Costa Rica
Brother's Brother Foundation,Costa Rica
Catholic Relief Services,Costa Rica
Disability Rights Education and Defense Fund (DREDF),Costa Rica
GlobalGiving,Costa Rica
Habitat for Humanity International,Costa Rica
Heart to Heart International,Costa Rica
IntraHealth International Inc.,Costa Rica
Lions Club International Foundation,Costa Rica
Management Sciences for Health (MSH),Costa Rica
Pact,Costa Rica
Pan American Development Foundation,Costa Rica
Pan American Health and Education Foundation (PAHEF),Costa Rica
Perkins International,Costa Rica
Physicians for Peace,Costa Rica
Project C.U.R.E,Costa Rica
Save the Children,Costa Rica
Solidarity Center,Costa Rica
U.S. Committee for Refugees & Immigrants,Costa Rica
United Way Worldwide,Costa Rica
World Connect,Costa Rica
World Society for the Protection of Animals,Costa Rica
World Vision,Costa Rica
Action Against Hunger | ACF International,Cote d'Ivoire
Adventist Development and Relief Agency International,Cote d'Ivoire
AmeriCares,Cote d'Ivoire
America's Development Foundation,Cote d'Ivoire
Baptist World Alliance,Cote d'Ivoire
CARE,Cote d'Ivoire
CBM,Cote d'Ivoire
Friends of ACTED,Cote d'Ivoire
Global Health Council,Cote d'Ivoire
GlobalGiving,Cote d'Ivoire
Habitat for Humanity International,Cote d'Ivoire
Heart to Heart International,Cote d'Ivoire
Helen Keller International,Cote d'Ivoire
International Rescue Committee (IRC),Cote d'Ivoire
Jesuit Refugee Service,Cote d'Ivoire
Jhpiego,Cote d'Ivoire
Lions Club International Foundation,Cote d'Ivoire
Management Sciences for Health (MSH),Cote d'Ivoire
MAP International,Cote d'Ivoire
PATH,Cote d'Ivoire
Presbyterian Disaster Assistance,Cote d'Ivoire
Project C.U.R.E,Cote d'Ivoire
Society for International Development (SID),Cote d'Ivoire
Stop Hunger Now,Cote d'Ivoire
Taiwan Buddhist Tzu Chi Foundation,Cote d'Ivoire
United Nations Foundation,Cote d'Ivoire
Winrock International,Cote d'Ivoire
Adventist Development and Relief Agency International,Croatia
American Jewish Joint Distribution Committee,Croatia
Heart to Heart International,Azerbaijan
America's Development Foundation,Croatia
Bethany Christian Service International,Albania
Baptist World Alliance,Croatia
CARE,Croatia
Global Health Council,Croatia
International Center for Not-for-Profit Law,Croatia
International Center for Research on Women (ICRW),Croatia
International Youth Foundation,Croatia
Jesuit Refugee Service,Croatia
Lions Club International Foundation,Croatia
Perkins International,Croatia
Project C.U.R.E,Croatia
American Friends Service Committee,Cuba
American Jewish Joint Distribution Committee,Cuba
Americas ReliefTeam,Cuba
Baptist World Alliance,Cuba
Brother's Brother Foundation,Cuba
CARE,Cuba
B'nai B'rith International,Australia
Catholic Relief Services,Cuba
Christian Reformed World Relief Committee,Cuba
Global Links,Cuba
GlobalGiving,Cuba
Handicap International USA,Cuba
Lions Club International Foundation,Cuba
BRAC USA,Afghanistan
Operation USA,Cuba
Perkins International,Cuba
Project C.U.R.E,Cuba
Stop Hunger Now,Cuba
U.S. Committee for Refugees & Immigrants,Cuba
International Center for Not-for-Profit Law,Cyprus
Lions Club International Foundation,Cyprus
World Learning,Cyprus
Adventist Development and Relief Agency International,Czech Republic
American Jewish Joint Distribution Committee,Czech Republic
Baptist World Alliance,Czech Republic
International Center for Not-for-Profit Law,Czech Republic
International Youth Foundation,Czech Republic
Brother's Brother Foundation,Afghanistan
Brother's Brother Foundation,Antigua and Barbuda
Brother's Brother Foundation,Argentina
Lions Club International Foundation,Czech Republic
Perkins International,Czech Republic
Project C.U.R.E,Czech Republic
Taiwan Buddhist Tzu Chi Foundation,Czech Republic
Action Against Hunger | ACF International,Democratic Republic of Congo
Adventist Development and Relief Agency International,Democratic Republic of Congo
Air Serv International,Democratic Republic of Congo
American Jewish World Service,Democratic Republic of Congo
American Red Cross International Services,Democratic Republic of Congo
AmeriCares,Democratic Republic of Congo
America's Development Foundation,Democratic Republic of Congo
Baptist World Alliance,Democratic Republic of Congo
CARE,Democratic Republic of Congo
Catholic Relief Services,Democratic Republic of Congo
CBM,Democratic Republic of Congo
CONCERN Worldwide,Democratic Republic of Congo
Development Gateway,Democratic Republic of Congo
Direct Relief International,Democratic Republic of Congo
Education Development Center (EDC),Democratic Republic of Congo
Episcopal Relief & Development,Democratic Republic of Congo
Friends of ACTED,Democratic Republic of Congo
Giving Children Hope,Democratic Republic of Congo
Global Health Council,Democratic Republic of Congo
GlobalGiving,Democratic Republic of Congo
Habitat for Humanity International,Democratic Republic of Congo
Handicap International USA,Democratic Republic of Congo
Heartland Alliance,Democratic Republic of Congo
Helen Keller International,Democratic Republic of Congo
IMA World Health,Democratic Republic of Congo
International Foundation for Electoral Systems (IFES),Democratic Republic of Congo
International Medical Corps,Democratic Republic of Congo
International Medical Health Organization (IMHO),Democratic Republic of Congo
