ID,ISO,Country,Member Organization,Number of Active Organizations:
11,AZE,Azerbaijan,"Action Against Hunger | ACF International, Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, Baptist World Alliance, CARE, Catholic Relief Services, Counterpart International, Global Health Council, Heart to Heart International, Heifer International, International Center for Not-for-Profit Law, International Relief & Development, International Rescue Committee (IRC), Keystone Human Services International, Management Sciences for Health (MSH), PATH, Project C.U.R.E, Relief International, Save the Children, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, World Vision",
12,BHS,Bahamas,"American Red Cross International Services, Americas ReliefTeam, Baptist World Alliance, Brother's Brother Foundation, Global Health Council, Lions Club International Foundation, The Eagles' Wings Foundation, World Learning",
13,BHR,Bahrain,"International Center for Not-for-Profit Law, Lions Club International Foundation, Mobility International USA, Solidarity Center",
14,BGD,Bangladesh,"ACDI/VOCA, Action Against Hunger | ACF International, ActionAid International USA, Adventist Development and Relief Agency International, Aga Khan Foundation USA, American Jewish Joint Distribution Committee, American Red Cross International Services, AmeriCares, Baptist World Alliance, BRAC USA, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, Christian Reformed World Relief Committee, CONCERN Worldwide, Direct Relief International, Episcopal Relief & Development, Global Fund for Children, Global Health Council, GlobalGiving, Habitat for Humanity International, Handicap International USA, Helen Keller International, HelpAge USA, Helping Hand for Relief and Development, International Medical Health Organization (IMHO), International Rescue Committee (IRC), Islamic Relief USA, Jhpiego, Lions Club International Foundation, Management Sciences for Health (MSH), Mercy USA for Aid and Development, PATH, Pathfinder International, PCI, Perkins International, Plan, Project C.U.R.E, ProLiteracy Worldwide, Refugees International, Relief International, ReSurge International, Save the Children, Seva Foundation, Society for International Development (SID), Solidarity Center, Taiwan Buddhist Tzu Chi Foundation, The Hunger Project, U.S. Committee for Refugees & Immigrants, United Nations Foundation, Volunteers Association of Bangladesh (VAB), Water Aid America, Winrock International, World Concern, World Food Program USA (WFP USA), World Vision",
15,BRB,Barbados,"Americas ReliefTeam, Baptist World Alliance, Education Development Center (EDC), Global Health Council, Jhpiego, Lions Club International Foundation",
16,BLR,Belarus,"Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, American Red Cross International Services, Baptist World Alliance, ChildFund International, Counterpart International, GlobalGiving, International Center for Not-for-Profit Law, Lions Club International Foundation, Management Sciences for Health (MSH), Pact, PATH, Project C.U.R.E, Solidarity Center",
17,BEL,Belgium,"ActionAid International USA, Adventist Development and Relief Agency International, Baptist World Alliance, Global Health Council, International Catholic Migration Commission (ICMC), International Emergency and Development Aid (IEDA Relief), International Rescue Committee (IRC), International Social Service - United States of America Branch Inc., International Youth Foundation, Jesuit Refugee Service, Lions Club International Foundation, ONE Campaign, PATH",
88,BLZ,Belize,"American Red Cross International Services, AmeriCares, Americas ReliefTeam, Baptist World Alliance, Brother's Brother Foundation, CBM, Episcopal Relief & Development, Food for the Poor (FFP), GlobalGiving, Heart to Heart International, IntraHealth International Inc., Lions Club International Foundation, Management Sciences for Health (MSH), Perkins International, Planet Aid, Project C.U.R.E, Stop Hunger Now, Winrock International, World Connect, World Wildlife Fund (WWF)",
89,BEN,Benin,"African Medical & Research Foundation, Africare, Baptist World Alliance, CARE, Catholic Relief Services, Development Gateway, Education Development Center (EDC), Freedom from Hunger, Global Health Council, GlobalGiving, Handicap International USA, IntraHealth International Inc., Jhpiego, Lions Club International Foundation, Management Sciences for Health (MSH), Medical Care Development, Plan, Project C.U.R.E, The Hunger Project, Winrock International, World Food Program USA (WFP USA)",
198,BMU,Bermuda,"Americas ReliefTeam, Baptist World Alliance, Habitat for Humanity International",
90,BTN,Bhutan,"AmeriCares, Brother's Brother Foundation, Global Fund for Children, Humane Society International (HSI), Lions Club International Foundation, Management Sciences for Health (MSH), Project C.U.R.E, Save the Children, U.S. Committee for Refugees & Immigrants, World Food Program USA (WFP USA), World Wildlife Fund (WWF)",
18,BOL,Bolivia,"ACDI/VOCA, Action Against Hunger | ACF International, ActionAid International USA, Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, American Jewish World Service, American Red Cross International Services, AmeriCares, Baptist World Alliance, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, ChildFund International, Church World Service, Direct Relief International, Family Care International, Freedom from Hunger, Giving Children Hope, Global Fund for Children, Global Health Council, Global Links, GlobalGiving, Habitat for Humanity International, Handicap International USA, Heifer International, HelpAge USA, Lions Club International Foundation, Lutheran World Relief (LWR), Management Sciences for Health (MSH), MAP International, Outreach International, Oxfam America, Pan American Development Foundation, Pan American Health and Education Foundation (PAHEF), PATH, PCI, Perkins International, Physicians for Peace, Plan, Project C.U.R.E, ProLiteracy Worldwide, ReSurge International, Save the Children, Society for International Development (SID), Solidarity Center, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, Unitarian Universalist Service Committee, Winrock International, World Concern, World Food Program USA (WFP USA), World Learning, World Neighbors, World Vision, World Wildlife Fund (WWF)",
91,BIH,Bosnia-Herzegovina,"American Jewish Joint Distribution Committee, America's Development Foundation, Baptist World Alliance, CARE, Catholic Relief Services, CHF International, Church World Service, Disability Rights Education and Defense Fund (DREDF), Education Development Center (EDC), Giving Children Hope, Global Health Council, Habitat for Humanity International, Handicap International USA, International Center for Not-for-Profit Law, International Orthodox Christian Charities (IOCC), International Rescue Committee (IRC), International Youth Foundation, Islamic Relief USA, Jesuit Refugee Service, Lions Club International Foundation, Mercy Corps, Mercy USA for Aid and Development, Perkins International, Project C.U.R.E, Women for Women International, World Vision",
92,BWA,Botswana,"American Red Cross International Services, Baptist World Alliance, Catholic Relief Services, Education Development Center (EDC), Episcopal Relief & Development, Global Health Council, Habitat for Humanity International, IntraHealth International Inc., Jhpiego, Lions Club International Foundation, Management Sciences for Health (MSH), PATH, Pathfinder International, PCI, Perkins International, Planet Aid, Stop Hunger Now, Winrock International",
57,BRA,Brazil,"ACDI/VOCA, ActionAid International USA, Adventist Development and Relief Agency International, American Friends Service Committee, American Jewish Joint Distribution Committee, AmeriCares, Baptist World Alliance, CARE, Catholic Relief Services, CBM, ChildFund International, Episcopal Relief & Development, Global Fund for Children, Global Health Council, GlobalGiving, Habitat for Humanity International, Handicap International USA, Heifer International, Humane Society International (HSI), INMED Partnerships for Children, International Center for Not-for-Profit Law, International Center for Research on Women (ICRW), International Youth Foundation, Joint Council on International Children’s Services, Lions Club International Foundation, Management Sciences for Health (MSH), Operation Blessing International Relief and Development Corporation, Outreach International, Pan American Development Foundation, Pan American Health and Education Foundation (PAHEF), PATH, Pathfinder International, Perkins International, Plan, Planet Aid, Project C.U.R.E, ProLiteracy Worldwide, Solidarity Center, Taiwan Buddhist Tzu Chi Foundation, U.S. Committee for Refugees & Immigrants, United Nations Foundation, Winrock International, World Society for the Protection of Animals, World Vision, World Wildlife Fund (WWF)",
191,BRN,Brunei Darussalam,"Lions Club International Foundation, Taiwan Buddhist Tzu Chi Foundation",
93,BGR,Bulgaria,"Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, Baptist World Alliance, Bethany Christian Service International, Catholic Relief Services, Global Fund for Children, GlobalGiving, Habitat for Humanity International, Heifer International, International Center for Not-for-Profit Law, International Youth Foundation, Lions Club International Foundation, Perkins International, Project C.U.R.E, The Global FoodBanking Network (GFN)",
19,BFA,Burkina Faso,"ACDI/VOCA, Action Against Hunger | ACF International, ActionAid International USA, Adventist Development and Relief Agency International, Africare, America's Development Foundation, Ananda Marga Universal Relief Team, Baptist World Alliance, Catholic Relief Services, CBM, Development Gateway, Family Care International, Freedom from Hunger, Global Health Council, GlobalGiving, Handicap International USA, Helen Keller International, HelpAge USA, Jesuit Refugee Service, Jhpiego, Lions Club International Foundation, Lutheran World Relief (LWR), Management Sciences for Health (MSH), Oxfam America, PATH, Perkins International, Plan, Project C.U.R.E, Save the Children, The Hunger Project, Trickle Up Program, United Nations Foundation, Water Aid America, Winrock International, World Concern, World Food Program USA (WFP USA), World Neighbors",
58,BDI,Burundi,"ActionAid International USA, Adventist Development and Relief Agency International, African Medical & Research Foundation, American Friends Service Committee, American Red Cross International Services, AmeriCares, Baptist World Alliance, Brother's Brother Foundation, CARE, Catholic Relief Services, Church World Service, CONCERN Worldwide, Development Gateway, Episcopal Relief & Development, Giving Children Hope, Global Fund for Children, Global Health Council, GlobalGiving, Handicap International USA, Heartland Alliance, International Foundation for Electoral Systems (IFES), International Medical Corps, International Relief Teams, International Rescue Committee (IRC), Jesuit Refugee Service, Lions Club International Foundation, Management Sciences for Health (MSH), Medical Care Development, Medical Teams International, PATH, Pathfinder International, Plant with Purpose, Project C.U.R.E, Stop Hunger Now, Winrock International, World Food Program USA (WFP USA), World Relief, World Vision",
59,KHM,Cambodia,"ActionAid International USA, Adventist Development and Relief Agency International, American Friends Service Committee, American Jewish World Service, American Red Cross International Services, AmeriCares, Baptist World Alliance, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, ChildFund International, Christian Reformed World Relief Committee, Church World Service, CONCERN Worldwide, Direct Relief International, Friends of ACTED, Giving Children Hope, Global Fund for Children, Global Health Council, GlobalGiving, Habitat for Humanity International, Handicap International USA, Heart to Heart International, Heifer International, Helen Keller International, HelpAge USA, Holt International Children's Services, International Center for Not-for-Profit Law, International Center for Research on Women (ICRW), International Foundation for Electoral Systems (IFES), International Relief & Development, Jesuit Refugee Service, Jhpiego, Lions Club International Foundation, Management Sciences for Health (MSH), Medical Teams International, Operation Blessing International Relief and Development Corporation, Operation USA, Oxfam America, Pact, PATH, Plan, Project C.U.R.E, ProLiteracy Worldwide, Seva Foundation, Solidarity Center, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, Winrock International, World Concern, World Food Program USA (WFP USA), World Rehabilitation Fund, World Relief, World Vision, World Wildlife Fund (WWF)",
60,CMR,Cameroon,"ActionAid International USA, Adventist Development and Relief Agency International, African Medical & Research Foundation, American Red Cross International Services, AmeriCares, Baptist World Alliance, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, Counterpart International, Direct Relief International, Giving Children Hope, Global Health Council, GlobalGiving, Habitat for Humanity International, Heart to Heart International, Heifer International, Helen Keller International, International Medical Corps, International Orthodox Christian Charities (IOCC), International Relief & Development, Jesuit Refugee Service, Lions Club International Foundation, Management Sciences for Health (MSH), Medical Teams International, One Economy Corporation, Plan, Project C.U.R.E, ProLiteracy Worldwide, Stop Hunger Now, United Nations Foundation, World Food Program USA (WFP USA), World Wildlife Fund (WWF)",
94,CAN,Canada,"Adventist Development and Relief Agency International, Aga Khan Foundation USA, Baptist World Alliance, Brother's Brother Foundation, Christian Reformed World Relief Committee, Easter Seals, Global Health Council, GlobalGiving, Habitat for Humanity International, Heifer International, Humane Society International (HSI), Information Management and Mine Action Programs (IMMAP), International Social Service - United States of America Branch Inc., International Youth Foundation, Jesuit Refugee Service, Joint Council on International Children’s Services, Lions Club International Foundation, Population Action International, Seva Foundation, Society for International Development (SID), Taiwan Buddhist Tzu Chi Foundation, The Global FoodBanking Network (GFN), The Hunger Project, United Cerebral Palsy (UCP), World Society for the Protection of Animals",
95,CPV,Cape Verde,"Africare, American Red Cross International Services, Handicap International USA, Lions Club International Foundation",
199,CYM,Cayman Islands,Americas ReliefTeam,
21,CAF,Central African Republic,"Action Against Hunger | ACF International, American Red Cross International Services, Baptist World Alliance, Catholic Relief Services, Friends of ACTED, Giving Children Hope, Global Health Council, International Medical Corps, International Rescue Committee (IRC), Jesuit Refugee Service, Lions Club International Foundation, Medical Emergency Relief International (Merlin), Mercy Corps, Resolve Uganda, United Nations Foundation, World Food Program USA (WFP USA)",
22,TCD,Chad,"Action Against Hunger | ACF International, Adventist Development and Relief Agency International, Africare, Air Serv International, American Jewish World Service, American Red Cross International Services, CARE, Catholic Relief Services, CBM, CONCERN Worldwide, Counterpart International, Friends of ACTED, Giving Children Hope, GlobalGiving, Handicap International USA, Hebrew Immigrant Aid Society, Information Management and Mine Action Programs (IMMAP), International Foundation for Electoral Systems (IFES), International Medical Corps, International Relief & Development, International Rescue Committee (IRC), Islamic Relief USA, Jesuit Refugee Service, Lions Club International Foundation, Management Sciences for Health (MSH), Solar Cookers International, Stop Hunger Now, United Nations Foundation, USA for UNHCR, World Concern, World Food Program USA (WFP USA), World Vision",
193,,Chechnya,"Helping Hand for Relief and Development, Islamic Relief USA",
96,CHL,Chile,"Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, American Red Cross International Services, AmeriCares, Americas ReliefTeam, Baptist World Alliance, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, Christian Reformed World Relief Committee, Church World Service, Family Care International, Giving Children Hope, GlobalGiving, Habitat for Humanity International, Heart to Heart International, International Center for Research on Women (ICRW), International Rescue Committee (IRC), International Youth Foundation, Latter-day Saint Charities, Lions Club International Foundation, Pan American Development Foundation, Pan American Health and Education Foundation (PAHEF), Perkins International, Presbyterian Disaster Assistance, Project C.U.R.E, ProLiteracy Worldwide, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, World Learning, World Vision, World Wildlife Fund (WWF)",
61,CHN,China,"ActionAid International USA, Adventist Development and Relief Agency International, American Friends Service Committee, American Red Cross International Services, AmeriCares, America's Development Foundation, Bethany Christian Service International, Brother's Brother Foundation, Catholic Relief Services, CBM, Christian Reformed World Relief Committee, Church World Service, Development Gateway, Direct Relief International, Episcopal Relief & Development, Giving Children Hope, Global Fund for Children, Global Health Council, Global Resource Services, GlobalGiving, Habitat for Humanity International, Handicap International USA, Heart to Heart International, Heifer International, Helen Keller International, HelpAge USA, Holt International Children's Services, Humane Society International (HSI), Institute for Sustainable Communities, International Center for Not-for-Profit Law, International Youth Foundation, Joint Council on International Children’s Services, Lions Club International Foundation, Management Sciences for Health (MSH), Mercy Corps, Mobility International USA, Operation Blessing International Relief and Development Corporation, Operation USA, Oxfam America, PATH, Perkins International, Plan, Planet Aid, Presbyterian Disaster Assistance, Project C.U.R.E, ProLiteracy Worldwide, Save the Children, Seva Foundation, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, United Nations Foundation, Winrock International, World Relief, World Society for the Protection of Animals, World Vision, World Wildlife Fund (WWF)",
23,COL,Colombia,"Action Against Hunger | ACF International, Adventist Development and Relief Agency International, American Jewish World Service, American Red Cross International Services, AmeriCares, Americas ReliefTeam, Amigos de las Americas, Bethany Christian Service International, Brother's Brother Foundation, Catholic Relief Services, CHF International, Church World Service, Concern America, Development Gateway, Episcopal Relief & Development, Family Care International, Global Fund for Children, Global Health Council, GlobalGiving, Habitat for Humanity International, Handicap International USA, HelpAge USA, Information Management and Mine Action Programs (IMMAP), International Center for Not-for-Profit Law, International Center for Research on Women (ICRW), International Relief & Development, International Rescue Committee (IRC), International Youth Foundation, Jesuit Refugee Service, Joint Council on International Children’s Services, Lions Club International Foundation, Lutheran World Relief (LWR), Management Sciences for Health (MSH), Mercy Corps, Operation Blessing International Relief and Development Corporation, Pan American Development Foundation, Pan American Health and Education Foundation (PAHEF), PATH, Perkins International, Physicians for Peace, Plan, Project C.U.R.E, ProLiteracy Worldwide, Refugees International, Save the Children, Solidarity Center, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, The Global FoodBanking Network (GFN), USA for UNHCR, World Food Program USA (WFP USA), World Society for the Protection of Animals, World Vision, World Wildlife Fund (WWF)",
205,COM,Comoros,"American Red Cross International Services, Lions Club International Foundation, Winrock International",
97,CRI,Costa Rica,"Adventist Development and Relief Agency International, American Red Cross International Services, AmeriCares, Americas ReliefTeam, Amigos de las Americas, Baptist World Alliance, Brother's Brother Foundation, Catholic Relief Services, Disability Rights Education and Defense Fund (DREDF), GlobalGiving, Habitat for Humanity International, Heart to Heart International, IntraHealth International Inc., Lions Club International Foundation, Management Sciences for Health (MSH), National Cooperative Business Association (NCBA), Pact, Pan American Development Foundation, Pan American Health and Education Foundation (PAHEF), Perkins International, Physicians for Peace, Project C.U.R.E, Save the Children, Solidarity Center, U.S. Committee for Refugees & Immigrants, World Connect, World Society for the Protection of Animals, World Vision",
34,CIV,Cote d'Ivoire,"Action Against Hunger | ACF International, Adventist Development and Relief Agency International, AmeriCares, America's Development Foundation, Baptist World Alliance, CARE, CBM, Friends of ACTED, Global Health Council, GlobalGiving, Habitat for Humanity International, Heart to Heart International, Helen Keller International, International Emergency and Development Aid (IEDA Relief), International Rescue Committee (IRC), Jesuit Refugee Service, Jhpiego, Lions Club International Foundation, Management Sciences for Health (MSH), MAP International, PATH, Presbyterian Disaster Assistance, Project C.U.R.E, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, United Nations Foundation, Winrock International, World Food Program USA (WFP USA)",
98,HRV,Croatia,"Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, America's Development Foundation, Baptist World Alliance, CARE, Global Health Council, International Center for Not-for-Profit Law, International Center for Research on Women (ICRW), International Youth Foundation, Jesuit Refugee Service, Lions Club International Foundation, Perkins International, Project C.U.R.E",
99,CUB,Cuba,"American Friends Service Committee, American Jewish Joint Distribution Committee, American Red Cross International Services, Americas ReliefTeam, Baptist World Alliance, Brother's Brother Foundation, CARE, Catholic Relief Services, Christian Reformed World Relief Committee, Global Links, GlobalGiving, Handicap International USA, Lions Club International Foundation, Operation USA, Project C.U.R.E, Stop Hunger Now, U.S. Committee for Refugees & Immigrants, World Food Program USA (WFP USA)",
100,CYP,Cyprus,"International Center for Not-for-Profit Law, Lions Club International Foundation",
101,CZE,Czech Republic,"Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, Baptist World Alliance, International Center for Not-for-Profit Law, International Youth Foundation, Lions Club International Foundation, Perkins International, Project C.U.R.E, Taiwan Buddhist Tzu Chi Foundation",
24,COD,Democratic Republic of Congo,"Action Against Hunger | ACF International, Adventist Development and Relief Agency International, Air Serv International, American Jewish World Service, American Red Cross International Services, AmeriCares, America's Development Foundation, Baptist World Alliance, CARE, Catholic Relief Services, CBM, CONCERN Worldwide, Development Gateway, Direct Relief International, Education Development Center (EDC), Episcopal Relief & Development, Friends of ACTED, Giving Children Hope, Global Health Council, GlobalGiving, Habitat for Humanity International, Handicap International USA, Heartland Alliance, Helen Keller International, IMA World Health, International Emergency and Development Aid (IEDA Relief), International Foundation for Electoral Systems (IFES), International Medical Corps, International Medical Health Organization (IMHO), International Rescue Committee (IRC), IntraHealth International Inc., Jesuit Refugee Service, Lions Club International Foundation, Management Sciences for Health (MSH), Medical Care Development, Medical Emergency Relief International (Merlin), Mercy Corps, Outreach International, Pact, PATH, Pathfinder International, Planet Aid, Project C.U.R.E, ProLiteracy Worldwide, Refugees International, Resolve Uganda, Save the Children, Stop Hunger Now, U.S. Committee for Refugees & Immigrants, United Methodist Committee on Relief, United Nations Foundation, USA for UNHCR, Winrock International, Women for Women International, World Connect, World Food Program USA (WFP USA), World Relief, World Vision, World Wildlife Fund (WWF)",
185,DNK,Denmark,"Adventist Development and Relief Agency International, Baptist World Alliance, Global Health Council, Lions Club International Foundation, United Nations Foundation, World Society for the Protection of Animals",
102,DJI,Djibouti,"American Red Cross International Services, GlobalGiving, Lions Club International Foundation, Project C.U.R.E, Solidarity Center, World Food Program USA (WFP USA)",
103,DMA,Dominica,"Americas ReliefTeam, Brother's Brother Foundation, ChildFund International, Food for the Poor (FFP), Lions Club International Foundation, Pan American Health and Education Foundation (PAHEF)",
104,DOM,Dominican Republic,"ActionAid International USA, Adventist Development and Relief Agency International, American Jewish World Service, AmeriCares, Americas ReliefTeam, Amigos de las Americas, Baptist World Alliance, Bethesda Lutheran Communities, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, Christian Reformed World Relief Committee, Church World Service, Counterpart International, Development Gateway, Direct Relief International, Episcopal Relief & Development, Food for the Poor (FFP), Giving Children Hope, Global Fund for Children, Global Health Council, Global Links, GlobalGiving, Heart to Heart International, International Youth Foundation, IntraHealth International Inc., Jesuit Refugee Service, Jhpiego, Latter-day Saint Charities, Lions Club International Foundation, Management Sciences for Health (MSH), Operation Blessing International Relief and Development Corporation, Outreach International, Pact, Pan American Development Foundation, PATH, Perkins International, Physicians for Peace, Plan, Plant with Purpose, Project C.U.R.E, ProLiteracy Worldwide, Refugees International, Save the Children, Solidarity Center, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, World Connect, World Vision",
25,ECU,Ecuador,"ACDI/VOCA, Action Against Hunger | ACF International, ActionAid International USA, Adventist Development and Relief Agency International, American Red Cross International Services, AmeriCares, Americas ReliefTeam, Amigos de las Americas, Baptist World Alliance, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, ChildFund International, Christian Reformed World Relief Committee, Direct Relief International, Family Care International, Freedom from Hunger, Giving Children Hope, Global Fund for Children, Global Health Council, GlobalGiving, Heart to Heart International, Hebrew Immigrant Aid Society, Heifer International, International Center for Not-for-Profit Law, International Center for Research on Women (ICRW), International Foundation for Electoral Systems (IFES), International Youth Foundation, Jesuit Refugee Service, Lions Club International Foundation, Management Sciences for Health (MSH), MAP International, Oxfam America, Pan American Development Foundation, Pan American Health and Education Foundation (PAHEF), Perkins International, Physicians for Peace, Plan, Planet Aid, Project C.U.R.E, ProLiteracy Worldwide, ReSurge International, Solidarity Center, Stop Hunger Now, U.S. Committee for Refugees & Immigrants, Unitarian Universalist Service Committee, United Nations Foundation, Winrock International, World Connect, World Food Program USA (WFP USA), World Vision, World Wildlife Fund (WWF)",
105,EGY,Egypt,"ACDI/VOCA, Aga Khan Foundation USA, AmeriCares, America's Development Foundation, Baptist World Alliance, Brother's Brother Foundation, CARE, Catholic Relief Services, CBM, CHF International, Church World Service, Education Development Center (EDC), Friends of ACTED, Global Fund for Children, Global Health Council, GlobalGiving, Habitat for Humanity International, Handicap International USA, Heart to Heart International, International Center for Not-for-Profit Law, International Center for Research on Women (ICRW), International Medical Corps, International Youth Foundation, Islamic Relief USA, Lions Club International Foundation, Mercy Corps, Operation Blessing International Relief and Development Corporation, Pathfinder International, Plan, ProLiteracy Worldwide, Save the Children, Seva Foundation, Solidarity Center, Unitarian Universalist Service Committee, Winrock International, World Food Program USA (WFP USA)",
